graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
4,2,12,5,"8 4",0.730623, 10309,1952852| 1984198
5,2,12,5,"8 4",0.865464, 14005,2320256| 2353986
6,2,12,5,"8 4",0.935879, 15936,2556820| 2592566
7,2,12,5,"8 4",0.812644, 13111,2173738| 2205822
8,2,12,5,"8 4",1.10094, 22332,2936854| 2973082
9,2,12,5,"8 4",0.993427, 18871,2705020| 2740606
0,3,12,5,"8 4",0.818352, 13248,2202224| 2234830
1,3,12,5,"8 4",0.986312, 18245,2658402| 2693866
2,3,12,5,"8 4",1.06144, 18805,2744136| 2780340
3,3,12,5,"8 4",1.08187, 22607,2959906| 2996740
4,3,12,5,"8 4",0.739298, 10309,1952852| 1984198
5,3,12,5,"8 4",0.861294, 14005,2320256| 2353986
6,3,12,5,"8 4",0.940369, 15936,2556820| 2592566
7,3,12,5,"8 4",0.816418, 13111,2173738| 2205822
8,3,12,5,"8 4",1.0915, 22332,2936854| 2973082
9,3,12,5,"8 4",0.99808, 18871,2705020| 2740606
0,4,12,5,"8 4",0.815439, 13248,2202224| 2234830
1,4,12,5,"8 4",0.99186, 18245,2658402| 2693866
2,4,12,5,"8 4",1.07187, 18805,2744136| 2780340
3,4,12,5,"8 4",1.09428, 22607,2959906| 2996740
4,4,12,5,"8 4",0.739602, 10309,1952852| 1984198
5,4,12,5,"8 4",0.86084, 14005,2320256| 2353986
6,4,12,5,"8 4",0.941345, 15936,2556820| 2592566
7,4,12,5,"8 4",0.809628, 13111,2173738| 2205822
8,4,12,5,"8 4",1.11337, 22332,2936854| 2973082
9,4,12,5,"8 4",1.00358, 18871,2705020| 2740606
0,5,12,5,"8 4",0.818872, 13248,2202224| 2234830
1,5,12,5,"8 4",0.977294, 18245,2658402| 2693866
2,5,12,5,"8 4",1.00559, 18805,2744136| 2780340
3,5,12,5,"8 4",1.15209, 22607,2959906| 2996740
4,5,12,5,"8 4",0.748804, 10309,1952852| 1984198
5,5,12,5,"8 4",0.876684, 14005,2320256| 2353986
6,5,12,5,"8 4",0.937148, 15936,2556820| 2592566
7,5,12,5,"8 4",0.817116, 13111,2173738| 2205822
8,5,12,5,"8 4",1.1, 22332,2936854| 2973082
9,5,12,5,"8 4",1.01731, 18871,2705020| 2740606
0,6,12,5,"8 4",0.822198, 13248,2202224| 2234830
1,6,12,5,"8 4",0.986647, 18245,2658402| 2693866
2,6,12,5,"8 4",1.00399, 18805,2744136| 2780340
3,6,12,5,"8 4",1.09523, 22607,2959906| 2996740
4,6,12,5,"8 4",0.80866, 10309,1952852| 1984198
5,6,12,5,"8 4",0.875292, 14005,2320256| 2353986
6,6,12,5,"8 4",0.944019, 15936,2556820| 2592566
7,6,12,5,"8 4",0.816232, 13111,2173738| 2205822
8,6,12,5,"8 4",1.11243, 22332,2936854| 2973082
9,6,12,5,"8 4",1.00879, 18871,2705020| 2740606
0,7,12,5,"8 4",0.816091, 13248,2202224| 2234830
1,7,12,5,"8 4",0.983289, 18245,2658402| 2693866
2,7,12,5,"8 4",1.00943, 18805,2744136| 2780340
3,7,12,5,"8 4",1.08977, 22607,2959906| 2996740
4,7,12,5,"8 4",0.755489, 10309,1952852| 1984198
5,7,12,5,"8 4",0.87121, 14005,2320256| 2353986
6,7,12,5,"8 4",0.953354, 15936,2556820| 2592566
